"length","type","comblength","height","probability"
14,"PairSteps",2,5,0.004985989184270662
14,"Straight",8,11,0.0033543237067138174
14,"Straight",8,8,0.0010836409508742542
8,"Single",1,1,0.012624133742944917
8,"Single",1,13,0.052289776380653
8,"Single",1,15,0.01635350432235479
5,"Single",1,8,0.04132303912967187
5,"Single",1,6,0.03812072293384804
5,"Single",1,9,0.03939287594314792
5,"Single",1,14,0.06312510966836286
5,"Single",1,15,0.01965257062642569
7,"Pair",2,13,0.01958469159886034
7,"Pair",2,8,0.01478477373649221
7,"PairSteps",2,8,0.0026951410457147257
7,"Pair",2,7,0.014502425626941142
10,"Pair",2,5,0.01351991322812753
10,"FullHouse",5,14,0.001512397072976978
10,"Pair",2,14,0.011900578988374402
10,"Single",1,14,0.03536564872668388
10,"Pair",2,3,0.014390687300447609
10,"Trio",3,14,0.0017721016208619136
14,"FullHouse",5,10,0.002398899814912471
14,"Trio",3,10,0.0024257840369761455
14,"Pair",2,2,0.012164076475271686
12,"Pair",2,8,0.012262996235652756
12,"Single",1,2,0.03167748242919717
12,"PairSteps",2,13,0.004472567993040961
12,"Single",1,7,0.03459504399436503
12,"PairSteps",2,8,0.004349399167070814
12,"Pair",2,12,0.013471590340484823
12,"Single",1,8,0.03441798880703294
12,"Single",1,13,0.032162459681454626
12,"Pair",2,2,0.013540872805093031
5,"Single",1,12,0.05202667134585015
5,"Single",1,7,0.03978768204948237
5,"Trio",3,7,0.0033777855764169154
5,"Single",1,4,0.03877873311107212
5,"Pair",2,7,0.014520091244077908
11,"Pair",2,9,0.013127570156807808
11,"Pair",2,4,0.01388449545844819
11,"PairSteps",2,4,0.004496362239595102
14,"FullHouse",5,11,0.00228309085833049
14,"Trio",3,11,0.002303771029148701
13,"Straight",6,9,0.007927140768404178
13,"Straight",7,10,0.005331736161267403
13,"Trio",3,5,0.003258935649232829
13,"Trio",3,8,0.003135624570613208
13,"FullHouse",5,5,0.0031943441318606465
13,"Single",1,5,0.030956952689649504
13,"Straight",5,8,0.01086899078690084
13,"Pair",2,5,0.01189658310873101
13,"FullHouse",5,8,0.0030592891409915385
14,"PairSteps",2,14,0.005372708378571207
9,"Single",1,5,0.03737211152430112
9,"Straight",5,8,0.008214464117222623
9,"Single",1,6,0.03962923905200644
9,"Straight",6,9,0.00484727387097371
9,"Single",1,2,0.03542950176684983
9,"Single",1,7,0.041812362398475515
9,"Single",1,4,0.035984533126121626
9,"Single",1,8,0.04260790734676509
9,"Single",1,9,0.041849364489093634
9,"Straight",5,9,0.008473478751549463
9,"Pair",2,14,0.013024735897578214
9,"Single",1,14,0.04062829549869568
1,"Single",1,8,0.05254091300602928
3,"Single",1,13,0.08579179382841641
3,"Single",1,3,0.039081044421837914
3,"Single",1,11,0.054679552390640894
1,"Single",1,3,0.07407407407407407
14,"StraightBomb",5,6,0.00016750938362750876
1,"Single",1,13,0.08031869078380706
6,"Pair",2,4,0.013061170911000262
6,"Single",1,4,0.03652533473352586
6,"Single",1,13,0.05457469152008401
6,"Single",1,14,0.05539511682856393
6,"Single",1,3,0.03632843265949068
6,"Pair",2,3,0.01329088999737464
6,"PairSteps",2,4,0.002100288789708585
12,"Straight",6,10,0.0078366165523506
12,"PairSteps",2,14,0.004603434870634243
12,"Straight",6,11,0.007490204229309562
12,"Single",1,15,0.01138541835061546
12,"Pair",2,13,0.014911125994010916
12,"Single",1,0,0.012701785178171405
12,"Straight",5,11,0.010530934620447565
12,"Straight",5,10,0.011293041731137848
12,"Straight",5,9,0.011362324195746057
12,"Straight",6,9,0.007790428242611795
12,"Single",1,4,0.03215476162983149
12,"Single",1,5,0.03283988822429043
12,"FullHouse",5,2,0.004056873205391716
12,"Straight",5,8,0.010808064478880395
12,"Trio",3,2,0.004280116702462607
12,"Pair",2,14,0.01193967806748112
2,"Single",1,12,0.062456466217785
2,"Single",1,4,0.04190852101230555
14,"PairSteps",2,6,0.005130750379998139
14,"PairSteps",3,6,0.0012097899928653411
13,"Pair",2,11,0.013329340403168508
11,"Pair",2,8,0.013172759727054995
11,"Pair",2,10,0.014358985946043653
11,"PairSteps",2,8,0.00429300917348276
11,"Single",1,1.5,0.011658909123774232
11,"Pair",2,2,0.014449365086538027
11,"Single",1,10,0.035970897916760815
2,"Single",1,8,0.036916647318319014
2,"Pair",2,8,0.011841188762479684
12,"FullHouse",5,6,0.0029791459781529296
12,"Pair",2,9,0.012447749474607977
12,"Trio",3,6,0.00316389921710815
8,"Straight",5,12,0.0036364935343287845
8,"PairSteps",2,11,0.002300492962777738
8,"Straight",6,11,0.0013931556762163321
8,"Straight",6,13,0.0015360434378795455
8,"Single",1,7,0.05122526255626206
8,"Straight",5,11,0.0037508037436593555
8,"Straight",7,13,0.0005215403300707295
8,"Single",1,8,0.052282631992569835
8,"Single",1,1.5,0.015960562977780954
8,"Straight",5,10,0.0036222047581624633
8,"Straight",6,12,0.0014717439451310994
8,"Straight",5,13,0.0035364721011645352
14,"Trio",3,13,0.002669810052631035
14,"SquareBomb",4,13,0.00023782196440942603
